"nodeID","latitude","longitude","nodeLabel","country_ISO3"
1,46.2173389999998,18.1072474999998,NA,NA
2,46.2102929999998,18.1895194999998,NA,NA
3,46.1891454999999,18.2675724999998,"Komló","HU"
4,46.8459229999999,16.8565064999998,NA,NA
5,46.8373709999998,16.8492709999998,"Zalaegerszeg","HU"
6,47.6881909999998,19.9483304999998,NA,NA
7,47.6962719999999,19.9749374999998,NA,NA
8,47.6853434999998,19.9214284999998,NA,NA
9,46.6195649999999,19.3011619999998,NA,NA
10,46.5834649999998,19.3691869999998,NA,NA
11,46.6260854999998,19.2975164999998,"Kiskőrös","HU"
12,46.6759594999998,21.0758139999998,"Békéscsaba","HU"
13,46.6780899999999,21.0732819999998,NA,NA
14,47.3762774999998,18.9001859999998,NA,NA
15,47.3732864999998,18.9000519999998,"Érd","HU"
16,47.5007659999999,19.0850279999998,"Budapest, Keleti","HU"
17,47.4881949999998,19.1146804999998,NA,NA
18,47.2443169999999,16.6299324999998,NA,NA
19,47.2428614999998,16.6306684999998,NA,NA
20,46.8545089999998,16.8081724999998,NA,NA
21,46.8870879999998,16.8986294999998,NA,NA
22,47.2569834999998,16.9197249999998,NA,NA
23,47.2593549999999,16.9308689999998,"Sárvár","HU"
24,47.2845349999998,17.0298419999998,NA,NA
25,46.2192519999998,18.1043409999998,NA,NA
26,46.1963979999998,18.0828219999998,NA,NA
27,47.9856644999998,20.8394114999998,NA,NA
28,47.9864009999999,20.8395489999998,NA,NA
29,46.2555169999999,18.1040779999998,NA,NA
30,46.7613089999998,21.0358284999998,NA,NA
31,46.7627584999998,21.0351789999998,NA,NA
32,46.4476569999999,18.3196689999998,NA,NA
33,46.3703634999999,18.1491914999998,"Dombóvár","HU"
34,46.3587434999999,18.1411914999998,NA,NA
35,47.6283579999998,20.7500139999998,NA,NA
36,47.6282064999998,20.7570504999998,"Tiszafüred","HU"
37,46.7622554999998,21.0373604999998,NA,NA
38,46.7709729999999,21.1131979999998,"Békés","HU"
39,47.7829964999999,19.9371514999998,"Gyöngyös","HU"
40,47.7756579999999,19.9368034999998,NA,NA
41,47.7736174999999,19.9367194999998,NA,NA
42,47.7321679999999,19.9344109999998,NA,NA
43,47.2765054999998,16.6099839999998,NA,NA
44,47.2549539999999,16.6256489999998,NA,NA
45,46.5242529999998,19.1202669999998,NA,NA
46,46.5512124999998,19.2397214999998,NA,NA
47,46.5261194999999,19.0691209999998,NA,NA
48,46.6112559999999,19.2982069999998,NA,NA
49,46.2407119999999,20.1140884999998,NA,NA
50,46.2389644999998,20.1155444999998,NA,NA
51,46.2330784999998,17.3534294999998,NA,NA
52,46.2297219999998,17.3538049999998,NA,NA
53,46.2436679999998,20.1459489999998,"Szeged","HU"
54,47.3673579999999,16.5662584999998,NA,NA
55,47.3406024999998,16.5805849999998,NA,NA
56,47.3845189999998,16.5556614999998,"Kőszeg","HU"
57,47.3462354999998,19.0520429999998,"Szigetszentmiklós","HU"
58,47.3647419999998,19.0907359999998,NA,NA
59,47.3166549999999,16.5886664999998,NA,NA
60,47.6161729999998,20.8762394999998,NA,NA
61,47.5397589999998,18.3212829999998,NA,NA
62,47.4901314999998,18.3082389999998,NA,NA
63,47.4825109999998,18.3074454999998,NA,NA
64,46.7366574999998,21.4025669999998,"Sarkad","HU"
65,46.7565294999999,21.4733694999998,NA,NA
66,47.3122989999999,18.9738934999998,"Tököl","HU"
67,47.3334744999999,19.0016759999998,NA,NA
68,47.4705154999998,18.3064439999998,"Oroszlány","HU"
69,47.4946939999998,19.8930749999998,"Jászberény","HU"
70,47.4411064999998,19.9396019999998,NA,NA
71,47.7302039999998,19.9350329999998,NA,NA
72,47.5261949999999,19.8538819999998,NA,NA
73,47.4156704999998,19.1107164999998,NA,NA
74,47.9453494999998,20.9811644999998,NA,NA
75,47.9265009999998,21.0302994999998,"Tiszaújváros","HU"
76,47.9579789999999,20.8742724999998,NA,NA
77,46.2676029999998,18.5270009999998,NA,NA
78,46.2961674999999,18.5335119999998,"Bonyhád","HU"
79,47.7493379999999,18.7274844999998,NA,NA
80,47.7396954999998,18.7086564999998,NA,NA
81,47.7562034999999,18.7339109999998,NA,NA
82,46.2386639999999,18.6193059999998,NA,NA
83,46.2706744999998,18.5181974999998,NA,NA
84,46.2899054999998,17.3143949999998,NA,NA
85,46.5356269999998,18.9922649999998,"Kalocsa","HU"
86,46.5291779999999,19.0420334999998,NA,NA
87,48.2384684999998,20.3246784999998,NA,NA
88,48.2226459999999,20.2957109999998,"Ózd","HU"
89,46.6737529999998,21.3010009999998,NA,NA
90,47.6606369999998,19.0748154999998,NA,NA
91,47.6614539999998,19.0757684999998,"Szentendre","HU"
92,48.2990699999999,20.3611109999998,NA,NA
93,46.2025054999999,20.5066349999998,NA,NA
94,46.2170239999998,20.5122879999998,NA,NA
95,46.1758969999998,20.5763794999998,NA,NA
96,46.2041914999998,20.4760854999998,"Makó","HU"
97,46.2262579999999,17.3543154999998,"Nagyatád","HU"
98,48.2998034999999,20.3573354999998,NA,NA
99,47.7777069999999,18.7433164999998,"Esztergom","HU"
100,47.4854554999999,19.1189164999998,NA,NA
101,47.5367744999998,19.2445864999998,NA,NA
102,47.5333904999999,19.2394959999998,NA,NA
103,47.5626509999998,18.4402609999998,NA,NA
104,47.5529354999998,18.4607219999998,NA,NA
105,47.4658904999999,19.0724239999998,NA,NA
106,47.4668674999998,19.0784069999998,NA,NA
107,47.8233459999998,18.8525734999998,NA,NA
108,47.7732304999998,18.9452389999998,NA,NA
109,46.2433854999998,20.1120344999998,NA,NA
