"nodeID","latitude","longitude","nodeLabel","country_ISO3"
1,37.9374814999998,23.6921914999998,"Δέλτα Φαλήρου","GR"
2,37.9408729999999,23.6878064999998,"Τζιτζιφιές","GR"
3,38.0064264999999,23.6996814999998,"Άγιος Αντώνιος","GR"
4,38.0027909999999,23.7134609999998,"Σεπόλια","GR"
5,37.8312509999999,22.8859034999998,NA,NA
6,37.8097379999999,22.8739654999998,NA,NA
7,40.5154999999999,21.6940139999998,"Πτολεμαΐδα","GR"
8,40.4623579999999,21.7548489999998,"Κόμανος","GR"
9,38.2498709999998,21.7350634999998,"Πάτρα","GR"
10,38.2422389999998,21.7264674999998,NA,NA
11,39.3839434999998,22.8484654999998,NA,NA
12,39.3841344999998,22.8972259999998,NA,NA
13,37.8081774999999,22.8659064999998,NA,NA
14,37.8123984999999,22.8431204999998,NA,NA
15,37.9257679999999,23.1244714999998,NA,NA
16,37.9250739999999,23.1220574999998,NA,NA
17,37.9209404999999,22.9319284999998,"Κόρινθος","GR"
18,37.9200894999998,22.9224749999998,NA,NA
19,37.6803789999998,21.4499624999998,"Λαμπέτι","GR"
20,37.6670884999999,21.4736764999998,NA,NA
21,39.3978249999998,22.7454894999998,"Άγιος Γεώργιος","GR"
22,39.3842769999999,22.8445389999998,NA,NA
23,40.6543224999999,22.9122184999998,NA,NA
24,40.6751104999998,22.8742099999998,NA,NA
25,40.6395224999999,21.6887634999998,"Λακκιά","GR"
26,40.6076924999998,21.6911584999998,NA,NA
27,38.2993269999999,21.7787594999998,NA,NA
28,38.2539709999999,21.7372214999998,NA,NA
29,37.9539134999999,23.6522464999998,"Λεύκα","GR"
30,37.9617499999999,23.6666019999998,"Άγιος Ιωάννης Ρέντης","GR"
31,37.9368789999999,21.2673749999998,"Λεχαινά","GR"
32,37.9280394999999,21.2660619999998,NA,NA
33,37.9238154999998,23.1169319999998,NA,NA
34,38.1172789999999,21.4632189999998,NA,NA
35,38.0989569999998,21.4184819999998,NA,NA
36,39.5920604999999,21.7292899999998,"Κεφαλόβρυσο","GR"
37,39.6310834999998,21.6941664999998,"Βασιλική","GR"
38,38.1460604999999,21.5611159999998,"Κάτω Αχαΐα","GR"
39,38.1501049999999,21.5444159999998,NA,NA
40,39.3714614999999,21.8954329999998,NA,NA
41,39.3818919999999,21.8713354999998,"Ισάρι","GR"
42,37.8761054999999,21.2669864999998,"Καβάσιλας","GR"
43,37.8567794999998,21.2605804999998,NA,NA
44,37.6581259999999,21.4864959999998,NA,NA
45,37.6537869999999,21.5031564999998,"Αλφειός","GR"
46,38.0324554999999,21.3634914999998,"Βάρδα","GR"
47,37.9791114999998,21.3178469999998,"Κουρτέσι","GR"
48,38.2317409999999,21.7262584999998,NA,NA
49,38.2144979999998,21.7196264999998,NA,NA
50,38.2039909999999,21.7096789999998,NA,NA
51,38.1889934999999,21.6905799999998,NA,NA
52,38.1286584999999,21.4955599999998,NA,NA
53,39.3500469999998,22.0083169999998,NA,NA
54,39.3504999999998,21.9696464999998,NA,NA
55,38.1189784999999,21.4679899999998,"Σαγαίικα","GR"
56,37.8046539999999,22.8699524999998,NA,NA
57,37.8060854999999,22.8685214999998,"Χιλιομόδιο","GR"
58,37.6921299999998,21.3575844999998,"Σκουροχώριο","GR"
59,37.6901559999999,21.3979159999998,NA,NA
60,37.6837909999998,22.7191134999998,NA,NA
61,37.6508979999998,22.7314679999998,NA,NA
62,37.9059969999998,21.2675554999998,NA,NA
63,37.8798124999998,21.2670794999998,NA,NA
64,38.0737084999999,23.5294789999998,"Μαγούλα","GR"
65,38.0629194999999,23.5211399999998,NA,NA
66,39.4332394999998,21.7986889999998,NA,NA
67,37.6326944999998,22.7362794999998,NA,NA
68,37.6317889999999,22.7365259999998,"Άργος","GR"
69,38.2402174999999,21.7273294999998,"Άγιος Ανδρέας","GR"
70,41.0899134999999,23.4555999999998,"Μητρούσι","GR"
71,41.0737714999999,23.5365919999998,"Σέρρες","GR"
72,40.3935809999998,21.7908944999998,"Μαυροδένδριο","GR"
73,37.6997879999998,21.3377529999998,"Μυρτιά","GR"
74,37.6922039999999,21.3568124999998,NA,NA
75,39.3407244999999,22.0852119999998,"Σοφάδες","GR"
76,38.0811414999999,23.6041474999998,"Ασπρόπυργος","GR"
77,37.9259529999999,22.8056324999998,"Ζευγολατειό","GR"
78,37.9387859999999,21.2677189999998,NA,NA
79,38.0335529999998,21.3641919999998,NA,NA
80,37.7515579999998,22.7339504999998,NA,NA
81,37.7200819999998,22.7270989999998,NA,NA
82,37.8999449999999,22.9088144999998,NA,NA
83,39.6614124999998,21.6739874999998,NA,NA
84,39.6733334999998,21.6761324999998,"Θεόπετρα","GR"
85,37.7906299999999,22.7445909999998,NA,NA
86,37.7909419999999,22.7335414999998,NA,NA
87,37.6394294999999,22.7335539999998,NA,NA
88,37.6842944999999,22.7190839999998,"Κουτσοπόδι","GR"
89,37.7195879999998,22.7267259999998,"Μυκήνες","GR"
90,37.9736979999998,23.3029374999998,NA,NA
91,37.9744134999999,23.2910944999998,NA,NA
92,38.0376734999999,23.4909649999998,NA,NA
93,38.0301324999999,23.4731779999998,NA,NA
94,39.3539279999999,21.9149279999998,"Καρδίτσα","GR"
95,39.3548609999999,21.9084994999998,NA,NA
96,37.9072074999999,21.2675469999998,"Ανδραβίδα","GR"
97,37.7449179999998,21.3191484999998,"Δουναίικα","GR"
98,37.7192579999999,21.3191269999998,NA,NA
99,38.1708679999998,21.6777139999998,NA,NA
100,38.1656999999998,21.6718894999998,"Βραχναίικα","GR"
101,39.3485139999999,21.9412274999998,NA,NA
102,39.3529249999999,21.9218094999998,NA,NA
103,38.0513589999998,21.3794004999998,"Μανολάς","GR"
104,37.9221719999998,23.0985629999998,NA,NA
105,39.4545124999999,22.7117309999998,NA,NA
106,39.4551119999998,22.7114314999998,"Στεφανοβίκειο","GR"
107,37.7188479999999,21.3194134999998,"Άγιος Ηλίας","GR"
108,37.8794449999999,22.8896134999998,NA,NA
109,37.8790219999998,22.8890649999998,"Σολομός","GR"
110,37.8264749999998,21.3073259999998,"Αμπελόκαμπος","GR"
111,37.8025659999998,21.3439284999998,NA,NA
112,37.9331474999998,23.1369264999998,"Άγιοι Θεόδωροι","GR"
113,38.0985964999998,21.4180604999998,"Λάπας","GR"
114,39.4508454999998,21.7882009999998,"Μαγούλα","GR"
115,39.5931369999998,22.5329224999998,NA,NA
116,39.6316309999999,22.4287644999998,NA,NA
117,37.8552499999998,21.2609409999998,"Γαστούνη","GR"
118,39.3396549999999,22.1051494999998,NA,NA
119,39.3391379999998,22.0955439999998,NA,NA
120,38.1612034999999,21.6568644999998,NA,NA
121,38.0132564999999,23.4145234999998,"Νέα Πέραμος","GR"
122,37.9996344999998,23.3743874999998,NA,NA
123,37.9984934999999,23.3726189999998,NA,NA
124,37.7952594999998,21.3458404999998,"Αμαλιάδα","GR"
125,37.7693514999999,21.3326599999998,"Καρδαμάς","GR"
126,40.6896619999999,21.6809789999998,NA,NA
127,40.6894954999999,21.6792554999998,NA,NA
128,37.8098349999999,22.8212559999998,NA,NA
129,37.8051254999999,22.7918269999998,NA,NA
130,40.3042639999998,21.8074059999998,NA,NA
131,40.2944599999998,21.7930479999998,"Κοζάνη","GR"
132,37.9909929999999,23.3611389999998,"Μέγαρα","GR"
133,38.0748999999998,23.6692829999998,NA,NA
134,38.0817604999999,23.6641534999998,NA,NA
135,39.3174779999999,22.2423089999998,NA,NA
136,39.3201014999999,22.2027984999998,NA,NA
137,40.5201629999999,21.6952144999998,NA,NA
138,37.7019934999998,22.7233439999998,NA,NA
139,39.5917929999999,21.7297729999998,NA,NA
140,41.1021239999999,23.4282669999998,"Καλά Δένδρα","GR"
141,39.6737849999999,21.6759749999998,NA,NA
142,39.6967229999998,21.6399669999998,NA,NA
143,37.8049434999999,22.7912804999998,"Άγιος Βασίλειος","GR"
144,37.8016499999999,22.7809624999998,NA,NA
145,37.7899664999998,22.7460174999998,"Νεμέα","GR"
146,40.6069784999999,21.6947319999998,"Φιλώτας","GR"
147,40.5523964999998,21.7131394999998,NA,NA
148,37.9780009999999,23.3326114999998,NA,NA
149,37.9750834999999,23.3175454999998,NA,NA
150,39.5233714999999,22.6529574999998,NA,NA
151,40.6898289999999,21.6815924999998,NA,NA
152,38.0707474999999,23.7102514999998,"Άνω Λιόσια","GR"
153,37.8498469999999,22.8939709999998,"Αθίκια","GR"
154,40.6885019999999,21.6793974999998,NA,NA
155,37.6762344999999,21.4354029999998,"Πύργος","GR"
156,39.4841824999999,22.6952284999998,"Αρμένιο","GR"
157,39.4513734999998,21.7882159999998,NA,NA
158,37.6755254999998,21.4333389999998,NA,NA
159,38.3008249999999,21.7821919999998,"Ρίο","GR"
160,38.0695154999999,23.7311529999998,NA,NA
161,38.0680429999998,23.7273114999998,NA,NA
162,39.5719039999998,21.7457459999998,NA,NA
163,39.7044169999999,21.6224799999998,"Καλαμπάκα","GR"
164,39.4614384999998,21.7888609999998,"Μαγούλα (Παλαιός)","GR"
165,39.4869879999999,21.7678159999998,NA,NA
166,37.8765949999999,21.2670079999998,NA,NA
167,37.9764264999999,23.2860474999998,NA,NA
168,39.5460779999999,21.7632219999998,"Τρίκαλα","GR"
169,39.5472164999998,21.7623164999998,NA,NA
170,38.0701189999999,23.7342034999998,NA,NA
171,39.5290754999999,21.7658314999998,NA,NA
172,39.5228534999999,22.6534519999998,"Κιλελέρ","GR"
173,37.9808654999999,23.7116294999998,NA,NA
174,37.9790189999999,23.7099779999998,NA,NA
175,37.9291049999999,23.9372139999998,NA,NA
176,37.9130984999998,23.8956969999998,"Κορωπί","GR"
177,37.9740124999998,23.7043094999998,"Ρουφ","GR"
178,37.9483739999999,23.8862354999998,NA,NA
179,37.9608624999998,23.8860039999998,NA,NA
180,37.9837544999999,23.8698624999998,"Παιανία-Κάντζα","GR"
181,38.0697189999998,23.7187184999998,NA,NA
182,38.0055439999998,23.8696679999998,"Παλλήνη","GR"
183,37.9505234999999,23.8863279999998,NA,NA
184,38.0571084999999,23.7712959999998,"Ηράκλειο","GR"
185,38.0600159999998,23.7564184999998,"Μεταμόρφωση","GR"
186,39.5618244999999,21.7506104999998,NA,NA
187,38.0547189999999,23.7761479999998,NA,NA
188,37.9307204999999,23.9387654999998,NA,NA
189,37.9371954999999,23.9449454999998,"Αεροδρόμιο","GR"
190,37.9587774999999,23.8863774999998,NA,NA
191,37.9442829999998,23.6781709999998,"Μοσχάτο","GR"
192,37.9446384999999,23.6690109999998,"Νέο Φάληρο","GR"
193,38.0130114999999,23.6958149999998,"Περιστέρι","GR"
194,37.9413139999999,23.7403844999998,"Άγιος Δημήτριος","GR"
195,37.9298789999999,23.7445074999998,"Ηλιούπολη","GR"
196,37.8924574999999,23.7220839999998,"Άγιος Κοσμάς 1η","GR"
197,37.8908319999998,23.7231879999998,"Άγιος Κοσμάς 2η","GR"
198,37.9481569999999,23.6433669999998,"Πειραιάς","GR"
199,37.9445034999999,23.6640409999998,"Νέο Φαλήρο","GR"
200,38.0658664999999,23.8040519999998,"ΚΑΤ","GR"
201,38.0733079999999,23.8082329999998,"Κηφισιά","GR"
202,37.9578309999999,23.7285674999998,"Νέος Κόσμος","GR"
203,37.9567734999999,23.7345634999998,"Άγιος Ιωάννης","GR"
204,37.9323194999999,22.9281109999998,NA,NA
205,37.9131624999999,23.7086499999998,"Μαρίνα Αλίμου","GR"
206,37.9108344999999,23.7109244999998,"Καλαμάκι","GR"
207,38.0451049999999,23.7929524999998,"Νερατζιώτισσα","GR"
208,38.0552894999998,23.8031254999998,NA,NA
209,37.9426689999999,23.6841804999998,"Καλλιθέα","GR"
210,37.9984949999998,23.7227674999998,"Αττική","GR"
211,38.0070494999999,23.7277564999998,"Άγιος Νικόλαος","GR"
212,37.9182564999998,23.7443534999998,"Άλιμος","GR"
213,37.9030549999999,23.7459529999998,"Αργυρούπολη","GR"
214,37.9254684999999,23.7020239999998,"Παναγίτσα","GR"
215,37.9220269999998,23.6997919999998,"Μουσών","GR"
216,37.9215744999998,23.6959514999998,"Μπάτης","GR"
217,37.9257469999999,23.6909254999998,"Φλοίσβος","GR"
218,39.3825724999999,22.9026414999998,NA,NA
219,39.3865789999998,22.9119924999998,"Μελισσάτικα","GR"
220,39.3870804999999,22.9133364999998,NA,NA
221,37.8603059999999,23.7541249999998,"Πλατεία Εσπεριδών","GR"
222,37.8563219999999,23.7543579999998,"Κολυμβητήριο","GR"
223,37.8628119999998,23.7512099999998,"Άγγελος Μεταξάς","GR"
224,37.8622429999999,23.7522809999998,NA,NA
225,37.8975069999998,23.7202429999998,"Ελληνικό","GR"
226,37.8851569999999,23.7268524999998,"Άγιος Αλέξανδρος","GR"
227,37.8534684999998,23.7517984999998,NA,NA
228,37.9203814999998,23.6983809999998,NA,NA
229,37.9184474999998,23.7005364999998,"Εδέμ","GR"
230,40.6500754999998,22.9200054999998,"Θεσσαλονίκη","GR"
231,37.8716644999999,23.7349529999998,"Πλατεία Βεργωτή","GR"
232,37.8676484999999,23.7385979999998,"Παραλία Γλυφάδας","GR"
233,37.9377674999999,22.9381379999998,NA,NA
234,37.9767034999998,23.7206249999998,"Θησείο","GR"
235,37.9767729999999,23.7260669999998,"Μοναστηράκι","GR"
236,37.8757659999999,23.7319229999998,"Κέντρο Ιστιοπλοΐας","GR"
237,37.9666589999999,23.7317119999998,"Λεωφ. Βουλιαγμένης","GR"
238,37.9645464999999,23.7272059999998,"Συγγρού - Φιξ","GR"
239,37.9399434999999,23.7129964999998,"Αγία Παρασκευή","GR"
240,37.9369279999999,23.7120384999998,"Μηδείας - Μυκάλης","GR"
241,37.9671909999998,23.7334729999998,NA,NA
242,37.9578644999999,23.7272594999998,"Νέος Κόσμος","GR"
243,37.9556769999999,23.7251204999998,NA,NA
244,37.9022844999999,23.7195784999998,"Λουτρά Αλίμου","GR"
245,37.9552104999999,23.6801634999998,"Μοσχάτο","GR"
246,37.8926589999999,23.7474194999998,"Ελληνικό","GR"
247,37.9279004999999,23.6883749999998,"Πάρκο Φλοίσβου","GR"
248,37.9785124999999,23.7113254999998,"Κεραμεικός","GR"
249,38.0091434999999,23.8058244999998,"Νομισματοκοπείο","GR"
250,38.0170779999999,23.8122409999998,"Αγία Παρασκευή","GR"
251,37.0501799999999,22.0141594999998,"Μεσσήνη","GR"
252,37.0568559999999,22.0644749999998,NA,NA
253,37.9976009999999,23.6674074999998,"Αγία Μαρίνα","GR"
254,37.9913624999999,23.6820104999998,"Αιγάλεω","GR"
255,37.9385469999999,22.9394424999998,"Κόρινθος","GR"
256,37.9687284999999,23.7295954999998,"Ακρόπολη","GR"
257,37.8810804999999,23.7295034999998,"Ελλήνων Ολυμπιονικών","GR"
258,37.9158589999999,23.7056164999998,"Πικροδάφνη","GR"
259,37.9681569999998,23.7089299999998,"Κάτω Πετράλωνα","GR"
260,37.8645274999999,23.7434154999998,"Παλαιό Δημαρχείο","GR"
261,37.8632189999998,23.7467574999998,NA,NA
262,37.8634334999998,23.7474074999998,"Πλατεία Κατράκη","GR"
263,40.8478664999998,25.8914589999998,NA,NA
264,40.8451279999998,25.8785039999998,"Αλεξανδρούπολη","GR"
265,37.9623334999999,23.7032299999998,"Ταύρος","GR"
266,38.0463209999999,23.7660024999998,"Νέο Ηράκλειο","GR"
267,38.0438889999999,23.7825224999998,"Ειρήνη","GR"
268,37.9336174999999,23.6935519999998,"Αγία Σκέπη","GR"
269,37.9310434999998,23.6870669999998,"Τροκαντερό","GR"
