"nodeID","latitude","longitude","nodeLabel","country_ISO3"
1,61.2710254999998,22.2358609999998,NA,NA
2,61.2552339999998,22.2992014999998,NA,NA
3,60.4609434999998,22.2738129999998,NA,NA
4,60.4503109999998,22.2971049999998,"Kupittaa","FI"
5,59.8268124999998,22.9683364999998,"Hanko","FI"
6,59.8438339999998,23.0185834999998,NA,NA
7,65.8541264999998,24.1679504999998,NA,NA
8,66.3855199999998,23.7096779999998,"Ylitornio","FI"
9,61.4534954999998,23.0683069999998,NA,NA
10,61.4818644999998,23.5011394999998,"Nokia","FI"
11,60.2782119999998,24.8527674999998,"Martinlaakso","FI"
12,60.2702234999998,24.8537039999998,"Louhela","FI"
13,60.9763939999998,25.6575779999998,"Lahti","FI"
14,60.9726904999998,25.6939024999998,NA,NA
15,60.9278174999998,26.0166154999998,"Uusikylä","FI"
16,60.0645599999998,23.6514269999998,NA,NA
17,60.0686984999998,23.6612509999998,"Karjaa","FI"
18,60.4723959999998,22.2854919999998,NA,NA
19,60.4871614999998,25.0658629999998,"Saunakallio","FI"
20,60.5528404999998,24.9707049999998,"Jokela","FI"
21,60.4340924999998,25.1077449999998,NA,NA
22,60.4558954999998,25.1017934999998,"Ainola","FI"
23,60.4736484999998,25.0907939999998,"Järvenpää","FI"
24,60.0632884999998,23.6317729999998,NA,NA
25,59.8643599999998,23.0754309999998,NA,NA
26,59.9041579999998,23.2368999999998,"Lappohja","FI"
27,60.1988339999998,24.9334589999998,"Pasila","FI"
28,60.2015534999998,24.9322139999998,NA,NA
29,60.1770914999998,24.9404449999998,NA,NA
30,60.1714324999998,24.9425074999998,"Helsinki","FI"
31,59.9795349999998,23.4432704999998,"Tammisaari","FI"
32,59.9900634999998,23.4881464999998,"Dragsvik","FI"
33,60.2278764999998,24.9655689999998,"Oulunkylä","FI"
34,60.2425694999998,24.9940279999998,"Pukinmäki","FI"
35,60.2209344999998,24.9481589999998,"Käpylä","FI"
36,61.2542099999998,22.3033099999998,"Kokemäki","FI"
37,62.7957284999998,22.8360384999998,NA,NA
38,62.9713094999998,23.0142369999998,"Lapua","FI"
39,62.7919109999998,22.8444529999998,"Seinäjoki","FI"
40,60.5389509999998,26.9067654999998,"Kymi","FI"
41,60.5863054999998,26.9590214999998,NA,NA
42,61.5094229999998,23.6879929999998,NA,NA
43,61.5057299999998,23.7584794999998,NA,NA
44,60.4654229999998,26.9227379999998,NA,NA
45,61.4434464999998,23.0494879999998,"Karkku","FI"
46,61.3097024999998,22.1332534999998,"Harjavalta","FI"
47,66.7203039999998,27.4043879999998,NA,NA
48,66.7242049999998,27.4037469999998,"Kemijärvi","FI"
